['09:25:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:25:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:25:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:25:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:25:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:25:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:25:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:25:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:25:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:25:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:25:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:25:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:25:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:25:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:25:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:25:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:25:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:25:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:26:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:26:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:26:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:26:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:26:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:26:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:26:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:26:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:26:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:26:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:26:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:26:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:26:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:26:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:26:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:26:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:26:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:26:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:26:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:26:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:26:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:26:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:26:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:26:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:27:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:27:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:27:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:27:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:27:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:27:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:27:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:27:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:27:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:27:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:27:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:27:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:27:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:27:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:27:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:27:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:27:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:27:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:27:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:27:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:27:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:27:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:27:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:27:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:28:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:28:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:28:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:28:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:28:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:28:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:28:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:28:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:28:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:28:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:28:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:28:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:28:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:28:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:28:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:28:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:28:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:28:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:28:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:28:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:28:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:28:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:28:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:28:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:29:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:29:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:29:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:29:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:29:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:29:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:29:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:29:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:29:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:29:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:29:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:29:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:29:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:29:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:29:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:29:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:29:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:29:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:29:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:29:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:29:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:29:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:29:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:29:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:30:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:30:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:30:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:30:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:30:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:30:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:30:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:30:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:30:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
